,Name,DT Name,SnapPy Name,Stage 1,MDP,4DCrossCap (KnotInfo),4DCrossCap (Model)
2326,12n_238,12n_238,K12n238,Success,N/A,,1
2327,12n_239,12n_239,K12n239,Success,N/A,,1
2328,12n_240,12n_240,K12n240,Success,N/A,,1
2329,12n_241,12n_241,K12n241,Success,N/A,,1
2330,12n_242,12n_242,K12n242,Success,N/A,,1
2331,12n_243,12n_243,K12n243,Fail,N/A,,
2332,12n_244,12n_244,K12n244,Success,N/A,,1
2333,12n_245,12n_245,K12n245,Success,N/A,,1
2334,12n_246,12n_246,K12n246,Fail,N/A,,
2335,12n_247,12n_247,K12n247,Fail,N/A,,
2336,12n_248,12n_248,K12n248,Success,N/A,,1
2337,12n_249,12n_249,K12n249,Fail,N/A,,
2338,12n_250,12n_250,K12n250,Success,N/A,,1
2339,12n_251,12n_251,K12n251,Success,N/A,,1
2340,12n_252,12n_252,K12n252,Success,N/A,,1
2341,12n_253,12n_253,K12n253,Success,N/A,,1
2342,12n_254,12n_254,K12n254,Fail,N/A,,
2343,12n_255,12n_255,K12n255,Fail,N/A,,
2344,12n_256,12n_256,K12n256,Success,N/A,,1
2345,12n_257,12n_257,K12n257,Success,N/A,,1
2346,12n_258,12n_258,K12n258,Fail,N/A,,
2347,12n_259,12n_259,K12n259,Success,N/A,,1
2348,12n_260,12n_260,K12n260,Fail,N/A,,
2349,12n_261,12n_261,K12n261,Fail,N/A,,
2350,12n_262,12n_262,K12n262,Success,N/A,,1
2351,12n_263,12n_263,K12n263,Success,N/A,,1
2352,12n_264,12n_264,K12n264,Success,N/A,,1
2353,12n_265,12n_265,K12n265,Success,N/A,,1
2354,12n_266,12n_266,K12n266,Success,N/A,,1
2355,12n_267,12n_267,K12n267,Success,N/A,,1
2356,12n_268,12n_268,K12n268,Success,N/A,,1
2357,12n_269,12n_269,K12n269,Fail,N/A,,
2358,12n_270,12n_270,K12n270,Fail,N/A,,
2359,12n_271,12n_271,K12n271,Fail,N/A,,
2360,12n_272,12n_272,K12n272,Success,N/A,,1
2361,12n_273,12n_273,K12n273,Success,N/A,,1
2362,12n_274,12n_274,K12n274,Success,N/A,,1
2363,12n_275,12n_275,K12n275,Fail,N/A,,
2364,12n_276,12n_276,K12n276,Fail,N/A,,
2365,12n_277,12n_277,K12n277,Success,N/A,,1
